Activity ID,Activity Status,WBS Code,At Completion Duration(d),Activity Name,Start,Finish,(*)Free Float(d),Total Float,Predecessors,Predecessor Details,Successors,Successor Details,Primary Constraint,Activity Type,Duration Type,Delete This Row
A32680,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,5,Electrical containment and cabling install,05/12/2023 08:00,11/12/2023 17:00,0,-9,"A31630, A31950, A32260","A31630: FS, A31950: FS, A32260: FS",A32690,A32690: FS,,Task Dependent,Fixed Duration & Units,
A32690,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,5,Pipework incl supports & inline components installation,12/12/2023 08:00,18/12/2023 17:00,0,-9,"A32680, A19060, A18280","A32680: FS, A19060: FS, A18280: FS",A32700,A32700: FS,,Task Dependent,Fixed Duration & Units,
A32700,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,1,Pipework Testing,19/12/2023 08:00,19/12/2023 17:00,0,-9,"A32690, A19060, A18280","A32690: FS, A19060: FS, A18280: FS","A32710, A34230, A34310, A34360, A34220","A32710: FS, A34230: FS, A34310: FS, A34360: FS, A34220: FS",,Task Dependent,Fixed Duration & Units,
A32710,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,3,Pipework Insulation & Labelling,20/12/2023 08:00,22/12/2023 17:00,0,-9,"A32700, A19060, A18280","A32700: FS, A19060: FS, A18280: FS","A7600, A7620, A7640, A7650, A32720, A34250, A7610","A7600: FS, A7620: FS, A7640: FS, A7650: FS, A32720: FS, A34250: FS, A7610: FS",,Task Dependent,Fixed Duration & Units,
A32720,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,3,Lighting fixture install,08/01/2024 08:00,10/01/2024 17:00,0,-9,A32710,A32710: FS,A32730,A32730: FS,,Task Dependent,Fixed Duration & Units,
A32730,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,6,Ductwork incl supports & inline components installation,11/01/2024 08:00,18/01/2024 17:00,0,-9,A32720,A32720: FS,A32750,A32750: FS,,Task Dependent,Fixed Duration & Units,
A32750,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,2,Duct Insulation & Labelling,19/01/2024 08:00,22/01/2024 17:00,0,-9,A32730,A32730: FS,"A33100, A33050, A33060","A33100: FS, A33050: FS, A33060: FS",,Task Dependent,Fixed Duration & Units,
A33100,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,4,Branch ductwork and final connections to ceiling,23/01/2024 08:00,26/01/2024 17:00,0,133,A32750,A32750: FS,A32740,A32740: FS,,Task Dependent,Fixed Duration & Units,
A32740,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.5,3,Duct Testing,29/01/2024 08:00,31/01/2024 17:00,133,133,A33100,A33100: FS,,,,Task Dependent,Fixed Duration & Units,
A32570,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,5,Electrical containment and cabling install from HVAC LV board,04/12/2023 08:00,08/12/2023 17:00,0,-3,"A31630, A31790, A32340, A32350","A31630: FS, A31790: FS, A32340: FS, A32350: FS","A32580, A40360","A32580: FS, A40360: FS",,Task Dependent,Fixed Duration & Units,
A32580,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,5,Pipework incl supports & inline components installation,11/12/2023 08:00,15/12/2023 17:00,0,-3,"A32570, A19060, A18280","A32570: FS, A19060: FS, A18280: FS",A32590,A32590: FS,,Task Dependent,Fixed Duration & Units,
A32590,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,1,Pipework Testing,18/12/2023 08:00,18/12/2023 17:00,0,-3,"A32580, A19060, A18280","A32580: FS, A19060: FS, A18280: FS","A32600, A34360, A34220","A32600: FS, A34360: FS, A34220: FS",,Task Dependent,Fixed Duration & Units,
A32600,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,3,Pipework Insulation & Labelling,19/12/2023 08:00,21/12/2023 17:00,0,-3,"A32590, A19060, A18280","A32590: FS, A19060: FS, A18280: FS","A7530, A7540, A7600, A7620, A7640, A7650, A34150, A32610","A7530: FS, A7540: FS, A7600: FS, A7620: FS, A7640: FS, A7650: FS, A34150: FS, A32610: FS",,Task Dependent,Fixed Duration & Units,
A32610,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,5,Ductwork incl supports & inline components installation,22/12/2023 08:00,11/01/2024 17:00,0,-3,A32600,A32600: FS,A32620,A32620: FS,,Task Dependent,Fixed Duration & Units,
A32620,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,2,Duct Testing,12/01/2024 08:00,15/01/2024 17:00,0,-3,A32610,A32610: FS,A32630,A32630: FS,,Task Dependent,Fixed Duration & Units,
A32630,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,3,Duct Insulation,16/01/2024 08:00,18/01/2024 17:00,0,-3,A32620,A32620: FS,A32640,A32640: FS,,Task Dependent,Fixed Duration & Units,
A32640,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,3,AHU Placement (x2),19/01/2024 08:00,23/01/2024 17:00,0,-3,"A32630, A29400","A32630: FS, A29400: FS","A32650, A32440","A32650: FS, A32440: SS 1",,Task Dependent,Fixed Duration & Units,
A32650,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,0,AHU Assembly & Testing,,23/01/2024 17:00,0,-3,A32640,A32640: FS,"A32660, A33500, A33510, A33480","A32660: FS, A33500: FS, A33510: FS, A33480: FS",,Finish Milestone,Fixed Duration and Units/Time,
A32660,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.6,5,BMS Panel Placement (x2),24/01/2024 08:00,30/01/2024 17:00,0,3,A32650,A32650: FS,"A40290, A33490","A40290: FS, A33490: FF -4",,Task Dependent,Fixed Duration and Units/Time,
A32480,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,5,Electrical containment and cabling install,23/11/2023 08:00,29/11/2023 17:00,0,-1,"A31540, A31720, A32060","A31540: FS, A31720: FS, A32060: FS",A32490,A32490: FS,,Task Dependent,Fixed Duration & Units,
A32490,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,5,Pipework incl supports & inline components installation,30/11/2023 08:00,06/12/2023 17:00,0,-1,"A32480, A19060, A18280","A32480: FS, A19060: FS, A18280: FS",A32500,A32500: FS,,Task Dependent,Fixed Duration & Units,
A32500,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,1,Pipework Testing,07/12/2023 08:00,07/12/2023 17:00,0,-1,"A32490, A19060, A18280","A32490: FS, A19060: FS, A18280: FS","A32510, A34330, A34360, A34220","A32510: FS, A34330: FS, A34360: FS, A34220: FS",,Task Dependent,Fixed Duration & Units,
A32510,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,3,Pipework Insulation & Labelling,08/12/2023 08:00,12/12/2023 17:00,0,-1,"A32500, A19060, A18280","A32500: FS, A19060: FS, A18280: FS","A7530, A7540, A7600, A7620, A7640, A7650, A32520, A34250, A7610, A40500","A7530: FS, A7540: FS, A7600: FS, A7620: FS, A7640: FS, A7650: FS, A32520: FS, A34250: FS, A7610: FS, A40500: FS",,Task Dependent,Fixed Duration & Units,
A32520,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,3,Lighting fixture install,13/12/2023 08:00,15/12/2023 17:00,0,-1,A32510,A32510: FS,A32530,A32530: FS,,Task Dependent,Fixed Duration & Units,
A32530,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,6,Ductwork incl supports & inline components installation,18/12/2023 08:00,08/01/2024 17:00,0,-1,A32520,A32520: FS,A32550,A32550: FS,,Task Dependent,Fixed Duration & Units,
A32550,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,1,Duct Insulation & Labelling,09/01/2024 08:00,09/01/2024 17:00,0,-1,A32530,A32530: FS,A32830,A32830: FS,,Task Dependent,Fixed Duration & Units,
A32830,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,3,Branch ductwork and final connections to ceiling,10/01/2024 08:00,12/01/2024 17:00,0,-1,A32550,A32550: FS,A32540,A32540: FS,,Task Dependent,Fixed Duration & Units,
A32540,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.7,3,Duct Testing,15/01/2024 08:00,17/01/2024 17:00,0,-1,A32830,A32830: FS,"A32780, A32790","A32780: FS, A32790: FS",,Task Dependent,Fixed Duration & Units,
A32370,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,5,Electrical containment and cabling install from HVAC LV board,22/11/2023 08:00,28/11/2023 17:00,0,6,"A31540, A31880, A32140","A31540: FS, A31880: FS, A32140: FS","A32380, A40360","A32380: FS, A40360: FS",,Task Dependent,Fixed Duration & Units,
A32380,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,5,Pipework incl supports & inline components installation,29/11/2023 08:00,05/12/2023 17:00,0,6,"A32370, A19060, A18280","A32370: FS, A19060: FS, A18280: FS",A32390,A32390: FS,,Task Dependent,Fixed Duration & Units,
A32390,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,1,Pipework Testing,06/12/2023 08:00,06/12/2023 17:00,0,6,"A32380, A19060, A18280","A32380: FS, A19060: FS, A18280: FS",A32400,A32400: FS,,Task Dependent,Fixed Duration & Units,
A32400,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,3,Pipework Insulation & Labelling,07/12/2023 08:00,11/12/2023 17:00,0,6,"A32390, A19060, A18280","A32390: FS, A19060: FS, A18280: FS","A40300, A34150, A32410","A40300: FS, A34150: FS, A32410: FS",,Task Dependent,Fixed Duration & Units,
A32410,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,5,Ductwork incl supports & inline components installation,12/12/2023 08:00,18/12/2023 17:00,0,6,A32400,A32400: FS,A32420,A32420: FS,,Task Dependent,Fixed Duration & Units,
A32420,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,2,Duct Testing,19/12/2023 08:00,20/12/2023 17:00,0,6,A32410,A32410: FS,A32430,A32430: FS,,Task Dependent,Fixed Duration & Units,
A32430,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,3,Duct Insulation,21/12/2023 08:00,08/01/2024 17:00,9,6,A32420,A32420: FS,A32440,A32440: FS,,Task Dependent,Fixed Duration & Units,
A32440,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,3,AHU Placement (x2),22/01/2024 08:00,24/01/2024 17:00,0,-3,"A32430, A32640, A29400","A32430: FS, A32640: SS 1, A29400: FS",A32450,A32450: FS,,Task Dependent,Fixed Duration & Units,
A32450,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,0,AHU Assembly & Testing,,24/01/2024 17:00,0,-3,A32440,A32440: FS,"A32460, A33390","A32460: FS, A33390: FS",,Finish Milestone,Fixed Duration and Units/Time,
A32460,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.2.8,5,BMS Panel Placement (x2),25/01/2024 08:00,31/01/2024 17:00,0,-3,A32450,A32450: FS,"A40290, A33400","A40290: FS, A33400: FS -4",,Task Dependent,Fixed Duration and Units/Time,
A5510,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3,3,Level 3 Removal of AHU Panels HVAC,25/09/2023 08:00,27/09/2023 17:00,41,78,"A5520, A34140, A29390","A5520: FS, A34140: SS, A29390: FS","A32770, A33040, A33400, A33490","A32770: FF, A33040: FF, A33400: FF, A33490: FS",,Task Dependent,Fixed Duration & Units,
A31570,Completed,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,1,Level 3 Isolate and draindown pipework,04/08/2023 08:00,04/08/2023 17:00,,,"A34140, A19070, A18510","A34140: SS, A19070: FS, A18510: FS",A31550,A31550: FS,,Task Dependent,Fixed Duration & Units,
A31550,Completed,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,2,Level 3 LOTO and perform dead testing on LV distribution,07/08/2023 08:00,08/08/2023 17:00,,,A31570,A31570: FS,"A31580, A31560","A31580: FS, A31560: FS",,Task Dependent,Fixed Duration & Units,
A31560,Completed,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,1,Level 3 Disconnect E&I Cabling and associated instrumentation to AHUs,09/08/2023 08:00,09/08/2023 17:00,,,A31550,A31550: FS,,,,Task Dependent,Fixed Duration & Units,
A31580,Completed,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,1,Level 3 Disconnect Utilities Pipework from AHUs,09/08/2023 08:00,09/08/2023 17:00,,,"A31550, A19070, A18510","A31550: FS, A19070: FS, A18510: FS",A31590,A31590: FS,,Task Dependent,Fixed Duration & Units,
A31590,In Progress,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,14,Level 3 Remove AHU Ductwork Connections & associated components HVAC,10/08/2023 08:00,30/08/2023 17:00,0,-9,A31580,A31580: FS,A31600,A31600: SS,,Task Dependent,Fixed Duration & Units,
A31600,In Progress,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,14,Level 3 Remove AHUs HVAC,10/08/2023 08:00,30/08/2023 17:00,0,-9,A31590,A31590: SS,A33640,A33640: FS,,Task Dependent,Fixed Duration & Units,
A33640,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,2,Level 3 Galvanized grating modification / adaptation,31/08/2023 08:00,01/09/2023 17:00,0,-9,A31600,A31600: FS,A31610,A31610: FS,,Task Dependent,Fixed Duration & Units,
A31610,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,2,Level 3 Remove HL piping over AHUs,04/09/2023 08:00,05/09/2023 17:00,0,-9,A33640,A33640: FS,A31620,A31620: FS,,Task Dependent,Fixed Duration & Units,
A31620,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,3,Level 3 Remove HL ductwork over AHUs HVAC,06/09/2023 08:00,08/09/2023 17:00,0,-9,A31610,A31610: FS,A31630,A31630: FS,,Task Dependent,Fixed Duration & Units,
A31630,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.1,7,Level 3 Remove HL cabling & containment (main LV distribution),11/09/2023 08:00,19/09/2023 17:00,0,-9,A31620,A31620: FS,"A31730, A31890, A32170, A32280, A32570, A32680","A31730: FS, A31890: FS, A32170: FS, A32280: FS, A32570: FS, A32680: FS",,Task Dependent,Fixed Duration & Units,
A31480,Completed,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,1,Technical Space above Lv2 Remove & Reinstal Level 3 Upper Mesh Flooring to Suit Sequencing,04/08/2023 08:00,04/08/2023 17:00,,,"A34140, A19070, A18510","A34140: SS, A19070: FS, A18510: FS",A31490,A31490: FS,,Task Dependent,Fixed Duration & Units,
A31490,Completed,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,10,Technical Space above Lv2 Walk on Ceiling Check by Cleanroom Contractor - reinforcement if necesssary,07/08/2023 08:00,18/08/2023 17:00,,,A31480,A31480: FS,A31500,A31500: FS,,Task Dependent,Fixed Duration & Units,
A31500,In Progress,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,1,Technical Space above Lv2 Walk on Ceiling Ready,28/08/2023 08:00,29/08/2023 17:00,0,-7,A31490,A31490: FS,A31510,A31510: FS,,Task Dependent,Fixed Duration & Units,
A31510,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,1,Technical Space above Lv2 Walk on Ceiling protection installation,30/08/2023 08:00,30/08/2023 17:00,0,-7,A31500,A31500: FS,A31520,A31520: FS,,Task Dependent,Fixed Duration & Units,
A31520,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,2,Technical Space above Lv2 Removal of Cables & Cable Trays,31/08/2023 08:00,01/09/2023 17:00,0,-7,"A31510, A29390","A31510: FS, A29390: FS",A31530,A31530: FS,,Task Dependent,Fixed Duration & Units,
A31530,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,3,Technical Space above Lv2 Removal of Ductwork,04/09/2023 08:00,06/09/2023 17:00,0,-7,"A31520, A29390","A31520: FS, A29390: FS",A31540,A31540: FS,,Task Dependent,Fixed Duration & Units,
A31540,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.2,5,Technical Space above Lv2 Removal of pipework,07/09/2023 08:00,13/09/2023 17:00,0,-7,"A31530, A29390, A19070, A18510","A31530: FS, A29390: FS, A19070: FS, A18510: FS","A31640, A31650, A31800, A31810, A32080, A32370, A32480","A31640: FS, A31650: FS, A31800: FS, A31810: FS, A32080: FS, A32370: FS, A32480: FS",,Task Dependent,Fixed Duration & Units,
A31640,In Progress,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,22,Level 3 Isolate and draindown pipework,14/08/2023 08:00,14/09/2023 08:00,0,-5,"A34140, A31540, A19070, A18510","A34140: SS, A31540: FS, A19070: FS, A18510: FS",A31660,A31660: FS,,Task Dependent,Fixed Duration & Units,
A31660,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,1,Level 3 Disconnect Utilities Pipework from AHUs,14/09/2023 08:00,14/09/2023 17:00,2,-5,"A31640, A19070, A18510","A31640: FS, A19070: FS, A18510: FS",A31680,A31680: FS,,Task Dependent,Fixed Duration & Units,
A31650,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,2,Level 3 LOTO and perform dead testing on LV distribution,14/09/2023 08:00,15/09/2023 17:00,0,-7,A31540,A31540: FS,A31670,A31670: FS,,Task Dependent,Fixed Duration & Units,
A31670,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,1,Level 3 Disconnect E&I Cabling and associated instrumentation to AHUs,18/09/2023 08:00,18/09/2023 17:00,0,-7,A31650,A31650: FS,A31680,A31680: FS,,Task Dependent,Fixed Duration & Units,
A31680,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,2,Level 3 Remove AHU Ductwork Connections & associated components HVAC,19/09/2023 08:00,20/09/2023 17:00,0,-7,"A31660, A31670","A31660: FS, A31670: FS",A31690,A31690: FS,,Task Dependent,Fixed Duration & Units,
A33630,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,2,Level 3 Galvanized grating modification / adaptation,21/09/2023 08:00,22/09/2023 17:00,0,-7,A31690,A31690: SS,A31700,A31700: FS,,Task Dependent,Fixed Duration & Units,
A31690,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,2,Level 3 Remove AHUs HVAC,21/09/2023 08:00,22/09/2023 17:00,0,-7,A31680,A31680: FS,"A5520, A33630","A5520: FF, A33630: SS",,Task Dependent,Fixed Duration & Units,
A5520,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,1,Level 3 Remove Atex Fan 240.1,22/09/2023 08:00,22/09/2023 17:00,0,78,A31690,A31690: FF,A5510,A5510: FS,,Task Dependent,Fixed Duration & Units,
A31700,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,2,Level 3 Remove HL piping over AHUs HVAC,25/09/2023 08:00,26/09/2023 17:00,0,-7,A33630,A33630: FS,A31710,A31710: FS,,Task Dependent,Fixed Duration & Units,
A31710,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,3,Level 3 Remove HL ductwork over AHUs HVAC,27/09/2023 08:00,29/09/2023 17:00,0,-7,A31700,A31700: FS,A31720,A31720: FS,,Task Dependent,Fixed Duration & Units,
A31720,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.3,7,Level 3 Remove HL cabling & containment (main LV distribution),02/10/2023 08:00,10/10/2023 17:00,0,-7,A31710,A31710: FS,"A31970, A32480","A31970: FS, A32480: FS",,Task Dependent,Fixed Duration & Units,
A31730,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,1,Technical Space above Lv2 Remove & Reinstal Level 3 Upper Mesh Flooring to Suit Sequencing,20/09/2023 08:00,20/09/2023 17:00,0,-3,"A34140, A31630","A34140: SS, A31630: FS",A31740,A31740: FS,,Task Dependent,Fixed Duration & Units,
A31740,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,5,Technical Space above Lv2 Walk on Ceiling Check by Cleanroom Contractor - reinforcement if necesssary,21/09/2023 08:00,27/09/2023 17:00,0,-3,A31730,A31730: FS,A31750,A31750: FS,,Task Dependent,Fixed Duration & Units,
A31750,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,0,Technical Space above Lv2 Walk on Ceiling Ready,28/09/2023 08:00,28/09/2023 08:00,0,-3,A31740,A31740: FS,A31760,A31760: FS,,Task Dependent,Fixed Duration & Units,
A31760,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,1,Technical Space above Lv2 Walk on Ceiling protection installation,28/09/2023 08:00,28/09/2023 17:00,0,-3,A31750,A31750: FS,A31770,A31770: FS,,Task Dependent,Fixed Duration & Units,
A31770,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,5,Technical Space above Lv2 Removal of Cables & Cable Trays,29/09/2023 08:00,05/10/2023 17:00,0,-3,"A31760, A29390","A31760: FS, A29390: FS",A31780,A31780: FS,,Task Dependent,Fixed Duration & Units,
A31780,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,5,Technical Space above Lv2 Removal of Ductwork,06/10/2023 08:00,12/10/2023 17:00,0,-3,"A31770, A29390","A31770: FS, A29390: FS",A31790,A31790: FS,,Task Dependent,Fixed Duration & Units,
A31790,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.4,5,Technical Space above Lv2 Removal of pipework,13/10/2023 08:00,19/10/2023 17:00,0,-3,"A31780, A29390, A19070, A18510","A31780: FS, A29390: FS, A19070: FS, A18510: FS","A32280, A32570","A32280: FS, A32570: FS",,Task Dependent,Fixed Duration & Units,
A31890,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,1,Technical Space above Lv2 Remove & Reinstal Level 3 Upper Mesh Flooring to Suit Sequencing,20/09/2023 08:00,20/09/2023 17:00,0,-9,"A34140, A31630","A34140: SS, A31630: FS",A31900,A31900: FS,,Task Dependent,Fixed Duration & Units,
A31900,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,5,Technical Space above Lv2 Walk on Ceiling Check by Cleanroom Contractor - reinforcement if necesssary,21/09/2023 08:00,27/09/2023 17:00,0,-9,A31890,A31890: FS,A31910,A31910: FS,,Task Dependent,Fixed Duration & Units,
A31910,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,0,Technical Space above Lv2 Walk on Ceiling Ready,28/09/2023 08:00,28/09/2023 08:00,0,-9,A31900,A31900: FS,A31920,A31920: FS,,Task Dependent,Fixed Duration & Units,
A31920,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,1,Technical Space above Lv2 Walk on Ceiling protection installation,28/09/2023 08:00,28/09/2023 17:00,0,-9,A31910,A31910: FS,A31930,A31930: FS,,Task Dependent,Fixed Duration & Units,
A31930,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,5,Technical Space above Lv2 Removal of Cables & Cable Trays,29/09/2023 08:00,05/10/2023 17:00,0,-9,"A31920, A29390","A31920: FS, A29390: FS",A31940,A31940: FS,,Task Dependent,Fixed Duration & Units,
A31940,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,5,Technical Space above Lv2 Removal of Ductwork,06/10/2023 08:00,12/10/2023 17:00,0,-9,"A31930, A29390","A31930: FS, A29390: FS",A31950,A31950: FS,,Task Dependent,Fixed Duration & Units,
A31950,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.5,5,Technical Space above Lv2 Removal of pipework,13/10/2023 08:00,19/10/2023 17:00,0,-9,"A31940, A29390, A19070, A18510","A31940: FS, A29390: FS, A19070: FS, A18510: FS","A32170, A32680","A32170: FS, A32680: FS",,Task Dependent,Fixed Duration & Units,
A31800,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,1,Level 3 Isolate and draindown pipework,14/09/2023 08:00,14/09/2023 17:00,0,6,"A34140, A31540, A19070, A18510","A34140: SS, A31540: FS, A19070: FS, A18510: FS",A31820,A31820: FS,,Task Dependent,Fixed Duration & Units,
A31810,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,2,Level 3 LOTO and perform dead testing on LV distribution,14/09/2023 08:00,15/09/2023 17:00,0,220,A31540,A31540: FS,A31830,A31830: FS,,Task Dependent,Fixed Duration & Units,
A31820,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,1,Level 3 Disconnect Utilities Pipework from AHUs,15/09/2023 08:00,15/09/2023 17:00,0,6,"A31800, A19070, A18510","A31800: FS, A19070: FS, A18510: FS",A31840,A31840: FS,,Task Dependent,Fixed Duration & Units,
A31830,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,1,Level 3 Disconnect E&I Cabling and associated instrumentation to AHUs,18/09/2023 08:00,18/09/2023 17:00,220,220,A31810,A31810: FS,,,,Task Dependent,Fixed Duration & Units,
A31840,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,2,Level 3 Remove AHU Ductwork Connections & associated components HVAC,18/09/2023 08:00,19/09/2023 17:00,0,6,A31820,A31820: FS,A31850,A31850: FS,,Task Dependent,Fixed Duration & Units,
A31850,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,2,Level 3 Remove AHUs HVAC,20/09/2023 08:00,21/09/2023 17:00,0,6,A31840,A31840: FS,A5630,A5630: SS,,Task Dependent,Fixed Duration & Units,
A5630,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,2,Level 3 Galvanized grating modification / adaptation,20/09/2023 08:00,21/09/2023 17:00,0,6,A31850,A31850: SS,A31860,A31860: FS,,Task Dependent,Fixed Duration & Units,
A31860,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,2,Level 3 Remove HL piping over AHUs,22/09/2023 08:00,25/09/2023 17:00,0,6,A5630,A5630: FS,A31870,A31870: FS,,Task Dependent,Fixed Duration & Units,
A31870,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,3,Level 3 Remove HL ductwork over AHUs HVAC,26/09/2023 08:00,28/09/2023 17:00,0,6,A31860,A31860: FS,A31880,A31880: FS,,Task Dependent,Fixed Duration & Units,
A31880,Not Started,Hercules_15082023-6.CONSTRUCTION.Main Works.Level 3.3.6,7,Level 3 Remove HL cabling & containment (main LV distribution),29/09/2023 08:00,09/10/2023 17:00,0,6,A31870,A31870: FS,"A32080, A32370","A32080: FS, A32370: FS",,Task Dependent,Fixed Duration & Units,
